,type,count,missing,mean,std,min,25%,50%,75%,max
Unnamed: 0,float64,150000.0,0.0,75000.5,43301.41,1.0,37500.75,75000.5,112500.25,150000.0
SeriousDlqin2yrs,float64,150000.0,0.0,0.07,0.25,0.0,0.0,0.0,0.0,1.0
RevolvingUtilizationOfUnsecuredLines,float64,150000.0,0.0,6.05,249.76,0.0,0.03,0.15,0.56,50708.0
age,float64,150000.0,0.0,52.3,14.77,0.0,41.0,52.0,63.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,float64,150000.0,0.0,0.42,4.19,0.0,0.0,0.0,0.0,98.0
DebtRatio,float64,150000.0,0.0,353.01,2037.82,0.0,0.18,0.37,0.87,329664.0
MonthlyIncome,float64,150000.0,0.0,6670.22,12880.45,0.0,3903.0,6600.0,7400.0,3008750.0
NumberOfOpenCreditLinesAndLoans,float64,150000.0,0.0,8.45,5.15,0.0,5.0,8.0,11.0,58.0
NumberOfTimes90DaysLate,float64,150000.0,0.0,0.27,4.17,0.0,0.0,0.0,0.0,98.0
NumberRealEstateLoansOrLines,float64,150000.0,0.0,1.02,1.13,0.0,0.0,1.0,2.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,float64,150000.0,0.0,0.24,4.16,0.0,0.0,0.0,0.0,98.0
NumberOfDependents,float64,150000.0,0.0,0.76,1.1,0.0,0.0,0.0,1.0,20.0
