,classifier,precision,accuracy,recall,f1,aucurve,prcurve
0,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
1,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
2,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.10683890577507599,0.7594333333333333,0.3441018110621635,0.16305230198306853,0.566943061341791,"(array([ 0.0681    ,  0.10683891,  1.        ]), array([ 1.        ,  0.34410181,  0.        ]), array([0, 1]))"
3,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.14656895403064624,0.8965333333333333,0.10768477728830152,0.12415349887133184,0.5309322051480676,"(array([ 0.0681    ,  0.14656895,  1.        ]), array([ 1.        ,  0.10768478,  0.        ]), array([0, 1]))"
4,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
5,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.0681,0.0681,1.0,0.12751615017320475,0.5,"(array([ 0.0681,  1.    ]), array([ 1.,  0.]), array([1]))"
6,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.10687138948008514,0.7595,0.3441018110621635,0.16309012875536483,0.5669788305588028,"(array([ 0.0681    ,  0.10687139,  1.        ]), array([ 1.        ,  0.34410181,  0.        ]), array([0, 1]))"
7,"KNeighborsClassifier(algorithm='ball_tree', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='distance')",0.14656895403064624,0.8965333333333333,0.10768477728830152,0.12415349887133184,0.5309322051480676,"(array([ 0.0681    ,  0.14656895,  1.        ]), array([ 1.        ,  0.10768478,  0.        ]), array([0, 1]))"
8,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=5,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.09133420149165385,0.47163333333333335,0.7552618697993148,0.16296139832074777,0.6030843097252825,"(array([ 0.0681   ,  0.0913342,  1.       ]), array([ 1.        ,  0.75526187,  0.        ]), array([0, 1]))"
9,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=5,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.444299674267101,0.9262,0.3338228095937347,0.3812185578535495,0.6516558337413177,"(array([ 0.0681    ,  0.44429967,  1.        ]), array([ 1.        ,  0.33382281,  0.        ]), array([0, 1]))"
